ID,Living,CellPhone,CellMinutes,CreditCard,Balance,GPA,WorkHrs,IdealChild,ParentsChild,CarAge,JobMkt,Politics,Religious,LanguageSkill,Newspaper,Textbook,UsedElectronic?,PreferElecronic,PCAccess,OpSystem,Linux,iPod
55,Dorm,Alltel,very long,Visa,None,3.8,none,two,one,New,Somewhat good,somewhat liberal,Not religious,Slight,Occasionally,Campus store,YES,Somewhat agree,Always,Windows,Yes,iPod only
56,Dorm,T-Mobile,short,Visa,Low,3,moderate,two,three,New,Good,conservative,Not religious,Fluent,Occasionally,Campus store,NO,Strongly Agree,Always,Windows,No,iPod only
57,Dorm,Cingular,average,Visa,Very high ,3.2,none,four,two,Old,Good,somewhat conservative,somewhat religious,Slight,Occasionally,Campus store,NO,Disagree,Always,Windows,No,iPod only
58,Solo Apt,Verizon,short,Visa,Very high ,3.67,moderate,two,two,Fairly old,Good,conservative,Not religious,None,Regularly,Campus store,NO,Disagree,Always,Windows,Yes,iPod only
59,Parents,Verizon,long ,Visa,Moderate,3.5,long,three,five ,Very new,Good,very conservative,very religious,None,Regularly,Campus store,NO,Somewhat agree,Always,Windows,No,Neither
60,Dorm,Nextel,short,None,None,3.67,long,three,four,Very Old,Good,neither,very religious,Slight,Never,On-line,NO,Neither,Always,Windows,What's Linux?,Neither
61,Parents,T-Mobile,long ,Visa,High ,2.9,long,one,one,Very Old,Good,somewhat liberal,Not religious,None,Regularly,Campus store,NO,Disagree,Always,Mac,Yes,MP3 only
62,Parents,Sprint,very long,Discover,Very high ,3,long,three,four,Very new,Good,neither,Not religious,Slight,Occasionally,Campus store,NO,Somehwhat agree,Often,Windows,No,iPod only
63,Share Apt,Verizon,average,Visa,Moderate,3.3,none,two,two,New,Somewhat good,liberal,Not religious,Moderate,Occasionally,Campus store,NO,Somehwhat agree,Always,Windows,No,iPod only
64,Solo Apt,Verizon,very long,Amex,Very high ,2.74,long,two,four,New,Good,neither,Not religious,Slight,Never,Other retail,NO,Somehwhat agree,Always,Windows,No,iPod only
65,Solo Apt,Verizon,short,Visa,Very high ,3.4,none,three,one,New,Very good,somewhat conservative,religious,Slight,Occasionally,Campus store,YES,Strongly Agree,Always,Windows,No,iPod only
66,Parents,Virgin,short,Visa,None,3,none,three,three,New,Good,somewhat conservative,very religious,None,Occasionally,Campus store,NO,Disagree,Never,Windows,No,Neither
67,Parents,Nextel,short,Visa,Very high ,3.67,none,two,four,New,Good,very conservative,somewhat religious,Moderate,Occasionally,On-line,NO,Disagree,Never,Windows,What's Linux?,Neither
68,Share Apt,Verizon,very long,Visa,High ,3.8,long,three,three,Fairly old,Somewhat bad,somewhat conservative,very religious,Moderate,Occasionally,Other retail,YES,Agree,Always,Windows,What's Linux?,Neither
