ID,Living,CellPhone,CellMinutes,CreditCard,Balance,GPA,WorkHrs,IdealChild,ParentsChild,CarAge,JobMkt,Politics,Religious,LanguageSkill,Newspaper,Textbook,UsedElectronic?,PreferElecronic?,PCAccess,OpSystem,Linux?,iPod?
35,Other,Other,15000,Other,10000,2.2,0,8,10,80,1,4,0,Slight,Never,No book,0,4,Never,Other,What's Linux?,Neither
36,Share Apt,Cingular,1500,Visa,678,3.6,0,2,1,4,5.97,3.37,0,Moderate,Occasionally,Other retail,0,4.93,Always,Windows,What's Linux?,iPod only
37,Dorm,Verizon,700,Visa,600,2.319,0,3,2,2,6.27,5.83,5,Fluent,Never,Campus store,0,1,Always,Windows,What's Linux?,iPod only
38,Dorm,Cingular,3000,Mastercard,220,2.9,0,3,3,11,5.53,3.17,0,Moderate,Occasionally,Campus store,0,6.03,Never,Windows,What's Linux?,iPod only
39,Dorm,T-Mobile,600,Visa,80,2.6,20,2,3,6,6,2,3,Slight,Occasionally,Campus store,1,5,Always,Windows,No,iPod only
40,Dorm,Verizon,560,Visa,843,2.76,0,3,3,3,6.33,2.7,0,None,Occasionally,Campus store,1,1.17,Always,Windows,What's Linux?,MP3 only
41,Dorm,Cingular,200,Visa,0,4,0,2,2,3,3.6,4.37,6,Slight,Occasionally,Campus store,1,2.13,Always,Mac,No,iPod only
42,Solo Apt,Verizon,1000,Mastercard,4000,3.3,45,3,4,6,6.8,2.17,52,Slight,Regularly,Campus store,0,2.2,Never,Windows,Yes,Neither
43,Share Apt,Cingular,300,Amex,200,3.6,0,2,3,31,6,1.47,20,Moderate,Regularly,Campus store,0,2,Always,Windows,No,iPod only
44,Solo Apt,Other,5,Mastercard,0,4,60,5,5,1,4.07,5.1,2,None,Regularly,No book,1,4.1,Never,Windows,No,iPod only
45,Dorm,Cingular,600,Visa,800,2.8,15,3,5,8,5.8,5.17,0,Slight,Occasionally,Campus store,0,7,Always,Windows,What's Linux?,iPod only
46,Dorm,T-Mobile,100,Visa,37.5,3.5,0,2,2,12,5.87,5.53,20,Moderate,Occasionally,Campus store,0,3.23,Always,Windows,What's Linux?,iPod only
47,Dorm,Cingular,290,Visa,100,2.7,0,2,2,11,6.9,3.9,10,Moderate,Occasionally,Campus store,0,2.13,Never,Windows,No,iPod only
48,Dorm,T-Mobile,500,Visa,758,1.6,0,2,2,3,5.53,4.63,15,Slight,Occasionally,Campus store,1,5.17,Always,Mac,What's Linux?,iPod only
49,Dorm,Cingular,60,Visa,0,3.382,0,2,3,15,5.87,4.07,0,Moderate,Occasionally,On-line,0,4.1,Rarely,Windows,Yes,Neither
50,Share Apt,Cingular,600,Visa,17,3.3,0,3,4,2,5.23,5.07,3,Moderate,Never,Campus store,0,1.9,Always,Mac,No,Neither
51,Dorm,Verizon,1000,Visa,300,3,0,2,2,5,6.17,2.33,10,None,Occasionally,Campus store,0,1.67,Rarely,Windows,No,iPod only
52,Dorm,T-Mobile,1200,Visa,200,3.4,14.5,3,3,10,5.97,5.53,15,Moderate,Occasionally,Campus store,0,2,Always,Windows,No,iPod only
53,Dorm,Cingular,6,Visa,100,3.15,0,3,3,7,6.13,2.03,3,None,Occasionally,Campus store,0,1.97,Never,Windows,No,iPod only
54,Dorm,Cingular,500,Visa,200,3.37,0,2,2,12,5.03,4.97,0,Moderate,Occasionally,Campus store,0,4.83,Always,Windows,What's Linux?,iPod only
55,Dorm,Alltel,2000,Visa,0,3.8,0,2,1,2,4.7,4.97,0,Slight,Occasionally,Campus store,1,4.77,Always,Windows,Yes,iPod only
56,Dorm,T-Mobile,150,Visa,50,3,10,2,3,3,6.07,2.37,0,Fluent,Occasionally,Campus store,0,1.3,Always,Windows,No,iPod only
57,Dorm,Cingular,400,Visa,1300,3.2,0,4,2,9,5.87,2.8,3,Slight,Occasionally,Campus store,0,1.6,Always,Windows,No,iPod only
58,Solo Apt,Verizon,260,Visa,900,3.67,17,2,2,7,5.6,2.13,1,None,Regularly,Campus store,0,1.5,Always,Windows,Yes,iPod only
59,Parents,Verizon,500,Visa,200,3.5,25,3,5,1,6.17,1,30,None,Regularly,Campus store,0,5,Always,Windows,No,Neither
